654,3cMn1O,false
124,CMaUDi,false
501,6a7Ggc,true
952,k6LPpk,true
370,lKZqwb,true
33,jh8azu,false
559,D7ObWd,true
765,pIIVPK,true
711,sW6UZy,true
78,mhkMMi,false
386,xqgY7q,false
292,3Jb32b,true
639,nbXvQj,false
297,punInG,false
729,RjVAeo,false
130,AZ9VUr,true
129,iyIS6D,true
755,xb7oao,true
930,AFTmmX,false
783,MkYMNG,false
586,xgNpbd,false
302,ZrFCxj,true
568,xhyVXS,true
799,Kmxjn9,true
392,tnYEJH,true
550,bPsruV,false
613,Gh3uMZ,true
624,mzw842,true
40,e33UWW,false
987,92ljks,true
978,UyQsHe,true
783,JOepCZ,true
526,cBN0Ie,true
336,YI5u2f,false
159,TCyqWc,true
497,4VqDGG,false
694,VseRY0,true
87,ZlV4Iy,false
864,4Blo3D,false
389,nVkca2,true
815,ghj5sl,true
460,JcPzbc,false
133,ji4aZ5,true
260,Z2cLHA,false
205,ywBkdg,true
719,4dRjQY,false
264,TwPMrv,true
364,8b6dqN,true
727,w6TOk8,true
994,UbaU3s,true
674,v6rybN,false
773,zzrC1A,false
519,9lMAFe,false
124,Iz4Qns,false
198,fl56vf,true
359,sS8NNk,false
441,sQbWcw,true
38,zhXSbJ,true
69,4bvTgx,true
331,zeIdTO,false
174,YXNULw,true
617,nXXuZr,true
499,z6aQYI,true
837,Onx3BT,false
762,x0UGUS,false
491,cTSnSn,false
64,zP1BBF,true
344,Gm0P3A,true
244,x8tYf6,true
590,0uo9aF,false
409,pSkX1h,false
593,RdLpQo,false
585,hzRtZb,true
338,et3elC,false
543,RVzgU1,false
890,5gnPyM,true
332,t2qcrQ,true
919,KmHnGf,true
298,XAmjf7,false
61,xTm7p6,false
578,q2YRY3,false
176,mkksXI,true
696,afYrf2,false
250,Qug52o,false
779,kLN6kd,false
147,eBv16d,true
136,6PwdEQ,true
593,kbwjjq,false
125,5VjVTs,true
986,hoofvX,false
139,a7J8sC,false
5,lhdhrh,false
776,5AMzFk,true
296,9e0tJk,false
592,iLIDHB,false
723,UO8OXt,true
506,hsB5hf,true
787,QDzp0T,false
504,2xfYFs,true
182,Rf3fu9,true
687,kFFC45,true
394,nunjC4,true
865,VuAnQ3,true
484,bXmsqe,false
498,MRLWnM,true
96,kDpA63,true
874,AYvnCN,false
468,UemTnk,false
